name,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Jessica Torres,female,group C,bachelor's degree,standard,completed,52,61,66
Emily Rowe,female,group C,bachelor's degree,free/reduced,completed,47,62,66
Jacob Wagner,female,group B,associate's degree,free/reduced,none,46,61,55
Bryan Scott,female,group E,some college,standard,none,68,70,66
Bethany Lee,male,group E,bachelor's degree,standard,completed,100,100,100
Katherine Perez,female,group C,high school,standard,none,44,61,52
Nancy Johnson,female,group C,associate's degree,standard,completed,57,77,80
Joseph Kirby,male,group B,some college,standard,completed,91,96,91
Melanie Green,male,group D,high school,free/reduced,none,69,70,67
Donna Sims,female,group C,high school,free/reduced,none,35,53,46
Martha Knox,male,group D,high school,standard,none,72,66,66
Tracy Fernandez,female,group B,associate's degree,free/reduced,none,54,65,65
Heather Erickson,male,group D,high school,free/reduced,none,74,70,69
Dale Manning,male,group E,some high school,standard,completed,74,64,60
Anthony Blake,male,group E,associate's degree,free/reduced,none,64,56,52
Mercedes Cobb,female,group D,high school,free/reduced,completed,65,61,71
Andrea Wilson,male,group E,associate's degree,free/reduced,completed,46,43,44
Christopher Coleman,female,group C,some high school,free/reduced,none,48,56,51
Collin Edwards,male,group C,some college,free/reduced,completed,67,74,70
Michael Hernandez,male,group D,some college,free/reduced,none,62,57,62
Mark Brooks,male,group D,associate's degree,free/reduced,completed,61,71,73
Gerald Henry,male,group C,bachelor's degree,free/reduced,completed,70,75,74
Daniel Ferguson,male,group C,associate's degree,standard,completed,98,87,90
Benjamin Williams,male,group D,some college,free/reduced,none,70,63,58
Teresa Mason,male,group A,associate's degree,standard,none,67,57,53
Cheryl Davenport,female,group E,high school,free/reduced,none,57,58,57
Patricia Hahn,male,group D,some college,standard,completed,85,81,85
Melinda Martinez,male,group D,some high school,standard,completed,77,68,69
Jennifer Neal,male,group C,master's degree,free/reduced,completed,72,66,72
Andrew May,female,group D,master's degree,standard,none,78,91,96
Anthony Jenkins,male,group C,high school,standard,none,81,66,64
Erica Werner,male,group A,some high school,free/reduced,completed,61,62,61
Nichole Turner,female,group B,high school,standard,none,58,68,61
Karen Wright,female,group C,associate's degree,standard,none,54,61,58
Matthew Bell,male,group B,high school,standard,none,82,82,80
Amanda Johns,female,group D,some college,free/reduced,none,49,58,60
Richard Ward,male,group B,some high school,free/reduced,completed,49,50,52
Scott Warren,female,group E,high school,free/reduced,completed,57,75,73
Ronald Burns,male,group E,high school,standard,none,94,73,71
Mrs. Angelica Dean,female,group D,some college,standard,completed,75,77,83
Dominique Crawford,female,group E,some high school,free/reduced,none,74,74,72
Steven Allen,male,group C,high school,standard,completed,58,52,54
Valerie Knight,female,group C,some college,standard,none,62,69,69
Thomas Gentry,male,group E,associate's degree,standard,none,72,57,62
Alexis Hunt,male,group C,some college,standard,none,84,87,81
Anthony Hendricks,female,group D,master's degree,standard,none,92,100,100
Julia Hansen,female,group D,high school,standard,none,45,63,59
Krystal Buchanan,male,group C,high school,standard,none,75,81,71
Wendy Meyer,female,group A,some college,standard,none,56,58,64
John Holt,female,group D,some high school,free/reduced,none,48,54,53
Jennifer Mosley,female,group E,associate's degree,standard,none,100,100,100
Brittany Dixon,female,group C,some high school,free/reduced,completed,65,76,75
Jason Gonzales,male,group D,some college,standard,none,72,57,58
Andrew Kelly,female,group D,some college,standard,none,62,70,72
Emily Bell,male,group A,some high school,standard,completed,66,68,64
Aimee Marsh,male,group C,some college,standard,none,63,63,60
Patricia Webb,female,group E,associate's degree,standard,none,68,76,67
James Mcdaniel,female,group B,bachelor's degree,standard,none,75,84,80
Noah Moore,female,group D,bachelor's degree,standard,none,89,100,100
Amanda Martinez,male,group C,some high school,standard,completed,78,72,69
Stephen Lewis,female,group A,high school,free/reduced,completed,53,50,60
Frances Fields,female,group D,some college,free/reduced,none,49,65,61
Emily Kim,female,group A,some college,standard,none,54,63,67
Harold Carroll,female,group C,some college,standard,completed,64,82,77
Debra Young,male,group B,some college,free/reduced,completed,60,62,60
Stephanie Weaver,male,group C,associate's degree,standard,none,62,65,58
Shawn Coleman,male,group D,high school,standard,completed,55,41,48
Paige Cooper,female,group C,associate's degree,standard,none,91,95,94
Larry Brown,female,group B,high school,free/reduced,none,8,24,23
Eric Monroe,male,group D,some high school,standard,none,81,78,78
James Holmes,male,group B,some high school,standard,completed,79,85,86
Jennifer Dixon,female,group A,some college,standard,completed,78,87,91
Amanda Baker,female,group C,some high school,standard,none,74,75,82
William Hansen,male,group A,high school,standard,none,57,51,54
Alisha Scott,female,group C,associate's degree,standard,none,40,59,51
Paul Barnett,male,group E,some high school,standard,completed,81,75,76
Beth Bailey,female,group A,some high school,free/reduced,none,44,45,45
Beverly Ward,female,group D,some college,free/reduced,completed,67,86,83
Stacy Gonzales MD,male,group E,high school,free/reduced,completed,86,81,75
Tabitha Stout,female,group B,some high school,standard,completed,65,82,78
Richard Bell,female,group D,associate's degree,free/reduced,none,55,76,76
Jason Parker,female,group D,bachelor's degree,free/reduced,none,62,72,74
Cathy Miller,male,group A,high school,standard,none,63,63,62
Christine Morris,female,group E,master's degree,standard,completed,88,99,95
Darlene Ross,male,group C,high school,free/reduced,none,62,55,55
Lauren Frederick,female,group C,high school,free/reduced,completed,59,71,65
Christopher Brown,female,group D,some college,standard,completed,68,78,77
Michelle Norris,female,group D,some college,free/reduced,none,77,86,86
